observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,verbatim_value,quality_flag,notes
webala-2019-triaenops-afer-male-cage,1004766,Triaenops afer,exact,webala-2019,"Table 2, Triaenops afer, Kaboga cave Watamu, flight-cage male",webala-2019-full-spectrum,unspecified,male flight cage,male flight cage,,unspecified,cave,Kenya,"Kaboga cave, Watamu",,1,4,peak_frequency,mean,75.2,,,kHz,,,75.2,ok,"Fmax is the CF-component peak frequency; cached raw SHA-256 a3c130b636d04e87883f801a86f546ce5db4584744688abc4841842fc95c2a15."
webala-2019-triaenops-afer-male-held,1004766,Triaenops afer,exact,webala-2019,"Table 2, Triaenops afer, Kaboga cave Watamu, hand-held male",webala-2019-full-spectrum,unspecified,male hand-held,male hand-held,,unspecified,cave,Kenya,"Kaboga cave, Watamu",,1,2,duration,range,,9,10.4,ms,,,9.0–10.4,ok,"Table reports a range of sequence means from a hand-held bat; cached raw SHA-256 a3c130b636d04e87883f801a86f546ce5db4584744688abc4841842fc95c2a15."
webala-2019-triaenops-afer-male-held,1004766,Triaenops afer,exact,webala-2019,"Table 2, Triaenops afer, Kaboga cave Watamu, hand-held male",webala-2019-full-spectrum,unspecified,male hand-held,male hand-held,,unspecified,cave,Kenya,"Kaboga cave, Watamu",,1,2,duty_cycle,range,,13,20,percent,,,13–20,ok,"Table reports a range of sequence means from a hand-held bat; cached raw SHA-256 a3c130b636d04e87883f801a86f546ce5db4584744688abc4841842fc95c2a15."
webala-2019-triaenops-afer-male-held,1004766,Triaenops afer,exact,webala-2019,"Table 2, Triaenops afer, Kaboga cave Watamu, hand-held male",webala-2019-full-spectrum,unspecified,male hand-held,male hand-held,,unspecified,cave,Kenya,"Kaboga cave, Watamu",,1,2,peak_frequency,mean,75.7,,,kHz,,,75.7,ok,"Fmax is the CF-component peak frequency; cached raw SHA-256 a3c130b636d04e87883f801a86f546ce5db4584744688abc4841842fc95c2a15."
webala-2019-triaenops-afer-female-held,1004766,Triaenops afer,exact,webala-2019,"Table 2, Triaenops afer, Lolldaiga Hills Laikipia, hand-held female",webala-2019-full-spectrum,unspecified,female hand-held,female hand-held,,unspecified,forest,Kenya,"Lolldaiga Hills, Laikipia",,1,1,duration,mean,12.2,,,ms,,,12.2,ok,"Single sequence from a hand-held bat; cached raw SHA-256 a3c130b636d04e87883f801a86f546ce5db4584744688abc4841842fc95c2a15."
webala-2019-triaenops-afer-female-held,1004766,Triaenops afer,exact,webala-2019,"Table 2, Triaenops afer, Lolldaiga Hills Laikipia, hand-held female",webala-2019-full-spectrum,unspecified,female hand-held,female hand-held,,unspecified,forest,Kenya,"Lolldaiga Hills, Laikipia",,1,1,duty_cycle,mean,9,,,percent,,,9,ok,"Single sequence from a hand-held bat; cached raw SHA-256 a3c130b636d04e87883f801a86f546ce5db4584744688abc4841842fc95c2a15."
webala-2019-triaenops-afer-female-held,1004766,Triaenops afer,exact,webala-2019,"Table 2, Triaenops afer, Lolldaiga Hills Laikipia, hand-held female",webala-2019-full-spectrum,unspecified,female hand-held,female hand-held,,unspecified,forest,Kenya,"Lolldaiga Hills, Laikipia",,1,1,peak_frequency,mean,83.9,,,kHz,,,83.9,ok,"Fmax is the CF-component peak frequency; cached raw SHA-256 a3c130b636d04e87883f801a86f546ce5db4584744688abc4841842fc95c2a15."
webala-2019-triaenops-afer-male-jaika,1004766,Triaenops afer,exact,webala-2019,"Table 2, Triaenops afer, Jaika cave Thome, hand-held male",webala-2019-full-spectrum,unspecified,male hand-held,male hand-held,,unspecified,cave,Kenya,"Jaika cave, Thome",,1,3,duration,range,,8.4,12.2,ms,,,8.4–12.2,ok,"Table reports a range of sequence means from a hand-held bat; cached raw SHA-256 a3c130b636d04e87883f801a86f546ce5db4584744688abc4841842fc95c2a15."
webala-2019-triaenops-afer-male-jaika,1004766,Triaenops afer,exact,webala-2019,"Table 2, Triaenops afer, Jaika cave Thome, hand-held male",webala-2019-full-spectrum,unspecified,male hand-held,male hand-held,,unspecified,cave,Kenya,"Jaika cave, Thome",,1,3,duty_cycle,range,,5,25,percent,,,5–25,ok,"Table reports a range of sequence means from a hand-held bat; cached raw SHA-256 a3c130b636d04e87883f801a86f546ce5db4584744688abc4841842fc95c2a15."
webala-2019-triaenops-afer-male-jaika,1004766,Triaenops afer,exact,webala-2019,"Table 2, Triaenops afer, Jaika cave Thome, hand-held male",webala-2019-full-spectrum,unspecified,male hand-held,male hand-held,,unspecified,cave,Kenya,"Jaika cave, Thome",,1,3,peak_frequency,mean,30.1,,,kHz,,,30.1,ok,"Fmax is the CF-component peak frequency. The published outlying value is retained rather than corrected; cached raw SHA-256 a3c130b636d04e87883f801a86f546ce5db4584744688abc4841842fc95c2a15."
webala-2019-triaenops-afer-free-flight,1004766,Triaenops afer,exact,webala-2019,"Table 2, Triaenops afer, Fikirini caves Kwale, free-flying",webala-2019-full-spectrum,unspecified,free-flying,free-flying,,free_flying_wild,cave,Kenya,"Fikirini caves, Kwale",,5,5,duration,range,,7.9,10.8,ms,,,7.9–10.8,ok,"Table reports a range of sequence means; cached raw SHA-256 a3c130b636d04e87883f801a86f546ce5db4584744688abc4841842fc95c2a15."
webala-2019-triaenops-afer-free-flight,1004766,Triaenops afer,exact,webala-2019,"Table 2, Triaenops afer, Fikirini caves Kwale, free-flying",webala-2019-full-spectrum,unspecified,free-flying,free-flying,,free_flying_wild,cave,Kenya,"Fikirini caves, Kwale",,5,5,duty_cycle,range,,32,47,percent,,,32–47,ok,"Table reports a range of sequence means; cached raw SHA-256 a3c130b636d04e87883f801a86f546ce5db4584744688abc4841842fc95c2a15."
webala-2019-triaenops-afer-free-flight,1004766,Triaenops afer,exact,webala-2019,"Table 2, Triaenops afer, Fikirini caves Kwale, free-flying",webala-2019-full-spectrum,unspecified,free-flying,free-flying,,free_flying_wild,cave,Kenya,"Fikirini caves, Kwale",,5,5,peak_frequency,range,,88.2,91.2,kHz,,,88.2–91.2,ok,"Fmax is the CF-component peak frequency. Table reports a range of sequence means; cached raw SHA-256 a3c130b636d04e87883f801a86f546ce5db4584744688abc4841842fc95c2a15."
