observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,verbatim_value,quality_flag,notes
grunwald-2024-hipposideros-fuliginosus,1004598,Hipposideros fuliginosus,exact,grunwald-2024,"Table 4, Hipposideros fuliginosus row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,2,61,duration,mean,6.0,,,ms,sd,1.6,6.0 ± 1.6,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-glauconycteris-argentata,1005536,Glauconycteris argentata,exact,grunwald-2024,"Table 4, Glauconycteris argentata row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,2,41,peak_frequency,mean,42.5,,,kHz,sd,0.5,42.5 ± 0.5,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-glauconycteris-argentata,1005536,Glauconycteris argentata,exact,grunwald-2024,"Table 4, Glauconycteris argentata row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,2,41,min_frequency,mean,40.6,,,kHz,sd,0.1,40.6 ± 0.1,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-glauconycteris-argentata,1005536,Glauconycteris argentata,exact,grunwald-2024,"Table 4, Glauconycteris argentata row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,2,41,max_frequency,mean,75.1,,,kHz,sd,4.3,75.1 ± 4.3,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-glauconycteris-argentata,1005536,Glauconycteris argentata,exact,grunwald-2024,"Table 4, Glauconycteris argentata row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,2,41,duration,mean,1.7,,,ms,sd,0.1,1.7 ± 0.1,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-glauconycteris-egeria,1005540,Glauconycteris egeria,exact,grunwald-2024,"Table 4, Glauconycteris egeria row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,2,24,peak_frequency,mean,26.3,,,kHz,sd,2.5,26.3 ± 2.5,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-glauconycteris-egeria,1005540,Glauconycteris egeria,exact,grunwald-2024,"Table 4, Glauconycteris egeria row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,2,24,min_frequency,mean,22.0,,,kHz,sd,2.1,22.0 ± 2.1,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-glauconycteris-egeria,1005540,Glauconycteris egeria,exact,grunwald-2024,"Table 4, Glauconycteris egeria row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,2,24,max_frequency,mean,53.8,,,kHz,sd,2.6,53.8 ± 2.6,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-glauconycteris-egeria,1005540,Glauconycteris egeria,exact,grunwald-2024,"Table 4, Glauconycteris egeria row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,2,24,duration,mean,2.6,,,ms,sd,0.6,2.6 ± 0.6,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-afropipistrellus-happoldorum,1005750,Nycticeinops happoldorum,manual,grunwald-2024,"Table 4, Nycticeinops happoldorum row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,3,27,peak_frequency,mean,46.8,,,kHz,sd,1.6,46.8 ± 1.6,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-afropipistrellus-happoldorum,1005750,Nycticeinops happoldorum,manual,grunwald-2024,"Table 4, Nycticeinops happoldorum row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,3,27,min_frequency,mean,41.2,,,kHz,sd,1.6,41.2 ± 1.6,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-afropipistrellus-happoldorum,1005750,Nycticeinops happoldorum,manual,grunwald-2024,"Table 4, Nycticeinops happoldorum row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,3,27,max_frequency,mean,87.4,,,kHz,sd,10.4,87.4 ± 10.4,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-afropipistrellus-happoldorum,1005750,Nycticeinops happoldorum,manual,grunwald-2024,"Table 4, Nycticeinops happoldorum row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,3,27,duration,mean,2.2,,,ms,sd,0.2,2.2 ± 0.2,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-pipistrellus-nanulus,1005627,Pipistrellus nanulus,exact,grunwald-2024,"Table 4, Pipistrellus nanulus row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,2,27,peak_frequency,mean,57.3,,,kHz,sd,0.6,57.3 ± 0.6,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-pipistrellus-nanulus,1005627,Pipistrellus nanulus,exact,grunwald-2024,"Table 4, Pipistrellus nanulus row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,2,27,min_frequency,mean,54.0,,,kHz,sd,1.6,54.0 ± 1.6,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-pipistrellus-nanulus,1005627,Pipistrellus nanulus,exact,grunwald-2024,"Table 4, Pipistrellus nanulus row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,2,27,max_frequency,mean,106.0,,,kHz,sd,6.0,106.0 ± 6.0,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-pipistrellus-nanulus,1005627,Pipistrellus nanulus,exact,grunwald-2024,"Table 4, Pipistrellus nanulus row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,2,27,duration,mean,2.4,,,ms,sd,0.3,2.4 ± 0.3,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-pseudoromicia-mbamminkom,1006740,Pseudoromicia mbamminkom,exact,grunwald-2024,"Table 4, Pseudoromicia mbamminkom row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,1,22,peak_frequency,mean,41.6,,,kHz,sd,2.4,41.6 ± 2.4,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-pseudoromicia-mbamminkom,1006740,Pseudoromicia mbamminkom,exact,grunwald-2024,"Table 4, Pseudoromicia mbamminkom row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,1,22,min_frequency,mean,34.2,,,kHz,sd,0.8,34.2 ± 0.8,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-pseudoromicia-mbamminkom,1006740,Pseudoromicia mbamminkom,exact,grunwald-2024,"Table 4, Pseudoromicia mbamminkom row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,1,22,max_frequency,mean,58.4,,,kHz,sd,1.5,58.4 ± 1.5,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-pseudoromicia-mbamminkom,1006740,Pseudoromicia mbamminkom,exact,grunwald-2024,"Table 4, Pseudoromicia mbamminkom row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,1,22,duration,mean,2.5,,,ms,sd,0.3,2.5 ± 0.3,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-pseudoromicia-roseveari,1005775,Pseudoromicia roseveari,exact,grunwald-2024,"Table 4, Pseudoromicia roseveari row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,2,20,peak_frequency,mean,39.9,,,kHz,sd,2.6,39.9 ± 2.6,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-pseudoromicia-roseveari,1005775,Pseudoromicia roseveari,exact,grunwald-2024,"Table 4, Pseudoromicia roseveari row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,2,20,min_frequency,mean,37.9,,,kHz,sd,1.2,37.9 ± 1.2,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-pseudoromicia-roseveari,1005775,Pseudoromicia roseveari,exact,grunwald-2024,"Table 4, Pseudoromicia roseveari row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,2,20,max_frequency,mean,53.1,,,kHz,sd,6.1,53.1 ± 6.1,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
grunwald-2024-pseudoromicia-roseveari,1005775,Pseudoromicia roseveari,exact,grunwald-2024,"Table 4, Pseudoromicia roseveari row",grunwald-2024-full-spectrum,unspecified,,,,free_flying_wild,,Cameroon,Mbam Minkom Massif,2019 and 2022,2,20,duration,mean,2.0,,,ms,sd,0.3,2.0 ± 0.3,ok,Manually transcribed from Table 4; cached raw SHA-256 0168e6a26a1a006a1069707ded5b2163fd06621dff2c34d7df6f984f7c713861.
