observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,verbatim_value,quality_flag,notes
taylor-boyd-2025-rhinolophus-mossambicus,1004720,Rhinolophus mossambicus,exact,taylor-boyd-2025,"Supplementary Table S1, R. mossambicus row",taylor-boyd-2025-release,search,release,release call,,hand_release,,Zambia,,,2,,peak_frequency,mean,38.5,37,40,kHz,sd,2.1,38.5 (2.1); 37.0-40.0,ok,"Frequency of Maximum Power; values are means across calls from two released bats. Raw supplementary PDF SHA-256 0447e5c25726ffd0aa773d1bd0cf4265b2d124f99d3adcdc8213b235c39e1934."
taylor-boyd-2025-rhinolophus-mossambicus,1004720,Rhinolophus mossambicus,exact,taylor-boyd-2025,"Supplementary Table S1, R. mossambicus row",taylor-boyd-2025-release,search,release,release call,,hand_release,,Zambia,,,2,,characteristic_frequency,mean,38.1,36.6,39.5,kHz,sd,2.1,38.1 (2.1); 36.6-39.5,ok,"Raw supplementary PDF SHA-256 0447e5c25726ffd0aa773d1bd0cf4265b2d124f99d3adcdc8213b235c39e1934."
taylor-boyd-2025-rhinolophus-mossambicus,1004720,Rhinolophus mossambicus,exact,taylor-boyd-2025,"Supplementary Table S1, R. mossambicus row",taylor-boyd-2025-release,search,release,release call,,hand_release,,Zambia,,,2,,knee_frequency,mean,38.5,37,39.9,kHz,sd,2.1,38.5 (2.1); 37.0-39.9,ok,"Frequency of the Knee. Raw supplementary PDF SHA-256 0447e5c25726ffd0aa773d1bd0cf4265b2d124f99d3adcdc8213b235c39e1934."
taylor-boyd-2025-rhinolophus-mossambicus,1004720,Rhinolophus mossambicus,exact,taylor-boyd-2025,"Supplementary Table S2, R. mossambicus row",taylor-boyd-2025-release,search,release,release call,,hand_release,,Zambia,,,2,,start_frequency,mean,31.3,30.2,32.4,kHz,sd,1.6,31.3 (1.6); 30.2-32.4,ok,"Raw supplementary PDF SHA-256 0447e5c25726ffd0aa773d1bd0cf4265b2d124f99d3adcdc8213b235c39e1934."
taylor-boyd-2025-rhinolophus-mossambicus,1004720,Rhinolophus mossambicus,exact,taylor-boyd-2025,"Supplementary Table S2, R. mossambicus row",taylor-boyd-2025-release,search,release,release call,,hand_release,,Zambia,,,2,,end_frequency,mean,33.2,32,34.5,kHz,sd,1.8,33.2 (1.8); 32.0-34.5,ok,"Raw supplementary PDF SHA-256 0447e5c25726ffd0aa773d1bd0cf4265b2d124f99d3adcdc8213b235c39e1934."
taylor-boyd-2025-rhinolophus-mossambicus,1004720,Rhinolophus mossambicus,exact,taylor-boyd-2025,"Supplementary Table S2, R. mossambicus row",taylor-boyd-2025-release,search,release,release call,,hand_release,,Zambia,,,2,,max_frequency,mean,38.7,37.3,40.2,kHz,sd,2.1,38.7 (2.1); 37.3-40.2,ok,"Highest Frequency. Raw supplementary PDF SHA-256 0447e5c25726ffd0aa773d1bd0cf4265b2d124f99d3adcdc8213b235c39e1934."
taylor-boyd-2025-rhinolophus-mossambicus,1004720,Rhinolophus mossambicus,exact,taylor-boyd-2025,"Supplementary Table S2, R. mossambicus row",taylor-boyd-2025-release,search,release,release call,,hand_release,,Zambia,,,2,,min_frequency,mean,30.3,29.7,31,kHz,sd,1,30.3 (1.0); 29.7-31.0,ok,"Lowest Frequency. Raw supplementary PDF SHA-256 0447e5c25726ffd0aa773d1bd0cf4265b2d124f99d3adcdc8213b235c39e1934."
taylor-boyd-2025-rhinolophus-mossambicus,1004720,Rhinolophus mossambicus,exact,taylor-boyd-2025,"Supplementary Table S2, R. mossambicus row",taylor-boyd-2025-release,search,release,release call,,hand_release,,Zambia,,,2,,bandwidth,mean,8.4,7.6,9.1,kHz,sd,1.1,8.4 (1.1); 7.6-9.1,ok,"Raw supplementary PDF SHA-256 0447e5c25726ffd0aa773d1bd0cf4265b2d124f99d3adcdc8213b235c39e1934."
taylor-boyd-2025-rhinolophus-mossambicus,1004720,Rhinolophus mossambicus,exact,taylor-boyd-2025,"Supplementary Table S3, R. mossambicus row",taylor-boyd-2025-release,search,release,release call,,hand_release,,Zambia,,,2,,inter_pulse_interval,mean,97.9,91.8,104,ms,sd,8.6,97.9 (8.6); 91.8-104.0,ok,"Source label: Preceding Interval. Raw supplementary PDF SHA-256 0447e5c25726ffd0aa773d1bd0cf4265b2d124f99d3adcdc8213b235c39e1934."
taylor-boyd-2025-rhinolophus-mossambicus,1004720,Rhinolophus mossambicus,exact,taylor-boyd-2025,"Supplementary Table S3, R. mossambicus row",taylor-boyd-2025-release,search,release,release call,,hand_release,,Zambia,,,2,,duration,mean,34.3,31.7,36.9,ms,sd,3.7,34.3 (3.7); 31.7-36.9,ok,"Source label: Call Duration. Raw supplementary PDF SHA-256 0447e5c25726ffd0aa773d1bd0cf4265b2d124f99d3adcdc8213b235c39e1934."
