observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,verbatim_value,quality_flag,notes
buitrago-castano-2025-ega-flight-room,1005580,Lasiurus ega,exact,buitrago-castano-2025,"Table 1, Puerto Wilches row",buitrago-castano-2025-flight-room,search,,,downward,flight_room,,Colombia,"Puerto Wilches, Santander (7.37316, -73.86333)","2022-03-27, 08:43-08:49",1,92,max_frequency,mean,36.97,,,kHz,sd,2.436,36.97 ± 2.436,definition_unstated,Manually transcribed by import_colombian_literature_calls.py from Table 1; cached raw SHA-256 f3b7653bd664d10bc4a00d4c598e333ab9ee638f880ea2bc9b5db0fc49c56e25. N=92 calls / 6 recording sessions from one adult female (IAvH-M-11214); the paper says the result does not represent between-individual variation. Published bandwidth (21.6 ± 5.2 kHz) is retained verbatim although it does not equal the displayed max-minus-min values.
buitrago-castano-2025-ega-flight-room,1005580,Lasiurus ega,exact,buitrago-castano-2025,"Table 1, Puerto Wilches row",buitrago-castano-2025-flight-room,search,,,downward,flight_room,,Colombia,"Puerto Wilches, Santander (7.37316, -73.86333)","2022-03-27, 08:43-08:49",1,92,min_frequency,mean,30.92,,,kHz,sd,2.85,30.92 ± 2.85,definition_unstated,Manually transcribed by import_colombian_literature_calls.py from Table 1; cached raw SHA-256 f3b7653bd664d10bc4a00d4c598e333ab9ee638f880ea2bc9b5db0fc49c56e25. N=92 calls / 6 recording sessions from one adult female (IAvH-M-11214); the paper says the result does not represent between-individual variation. Published bandwidth (21.6 ± 5.2 kHz) is retained verbatim although it does not equal the displayed max-minus-min values.
buitrago-castano-2025-ega-flight-room,1005580,Lasiurus ega,exact,buitrago-castano-2025,"Table 1, Puerto Wilches row",buitrago-castano-2025-flight-room,search,,,downward,flight_room,,Colombia,"Puerto Wilches, Santander (7.37316, -73.86333)","2022-03-27, 08:43-08:49",1,92,peak_frequency,mean,36.97,,,kHz,sd,2.43,36.97 ± 2.43,definition_unstated,Manually transcribed by import_colombian_literature_calls.py from Table 1; cached raw SHA-256 f3b7653bd664d10bc4a00d4c598e333ab9ee638f880ea2bc9b5db0fc49c56e25. N=92 calls / 6 recording sessions from one adult female (IAvH-M-11214); the paper says the result does not represent between-individual variation. Published bandwidth (21.6 ± 5.2 kHz) is retained verbatim although it does not equal the displayed max-minus-min values.
buitrago-castano-2025-ega-flight-room,1005580,Lasiurus ega,exact,buitrago-castano-2025,"Table 1, Puerto Wilches row",buitrago-castano-2025-flight-room,search,,,downward,flight_room,,Colombia,"Puerto Wilches, Santander (7.37316, -73.86333)","2022-03-27, 08:43-08:49",1,92,bandwidth,mean,21.6,,,kHz,sd,5.2,21.6 ± 5.2,suspect,Manually transcribed by import_colombian_literature_calls.py from Table 1; cached raw SHA-256 f3b7653bd664d10bc4a00d4c598e333ab9ee638f880ea2bc9b5db0fc49c56e25. N=92 calls / 6 recording sessions from one adult female (IAvH-M-11214); the paper says the result does not represent between-individual variation. Published bandwidth (21.6 ± 5.2 kHz) is retained verbatim although it does not equal the displayed max-minus-min values.
buitrago-castano-2025-ega-flight-room,1005580,Lasiurus ega,exact,buitrago-castano-2025,"Table 1, Puerto Wilches row",buitrago-castano-2025-flight-room,search,,,downward,flight_room,,Colombia,"Puerto Wilches, Santander (7.37316, -73.86333)","2022-03-27, 08:43-08:49",1,92,duration,mean,2.85,,,ms,sd,0.5,2.85 ± 0.5,definition_unstated,Manually transcribed by import_colombian_literature_calls.py from Table 1; cached raw SHA-256 f3b7653bd664d10bc4a00d4c598e333ab9ee638f880ea2bc9b5db0fc49c56e25. N=92 calls / 6 recording sessions from one adult female (IAvH-M-11214); the paper says the result does not represent between-individual variation. Published bandwidth (21.6 ± 5.2 kHz) is retained verbatim although it does not equal the displayed max-minus-min values.
buitrago-castano-2025-ega-flight-room,1005580,Lasiurus ega,exact,buitrago-castano-2025,"Table 1, Puerto Wilches row",buitrago-castano-2025-flight-room,search,,,downward,flight_room,,Colombia,"Puerto Wilches, Santander (7.37316, -73.86333)","2022-03-27, 08:43-08:49",1,92,inter_pulse_interval,mean,33.73,,,ms,sd,0.98,33.73 ± 0.98,definition_unstated,Manually transcribed by import_colombian_literature_calls.py from Table 1; cached raw SHA-256 f3b7653bd664d10bc4a00d4c598e333ab9ee638f880ea2bc9b5db0fc49c56e25. N=92 calls / 6 recording sessions from one adult female (IAvH-M-11214); the paper says the result does not represent between-individual variation. Published bandwidth (21.6 ± 5.2 kHz) is retained verbatim although it does not equal the displayed max-minus-min values.
