observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,verbatim_value,quality_flag,notes
curran-2022-rhinolophus-namuli,1006674,Rhinolophus namuli sp. nov.,exact,curran-2022,"Table 5, R. namuli sp. nov. row, Mount Namuli, MZ",curran-2022-handheld,unspecified,hand-held,hand-held,,unspecified,clutter,Mozambique,"Mount Namuli, Zambesia Province",2008,7,,peak_frequency,mean,76.9,75.9,78,kHz,sd,0.8,76.9 ± 0.8 (75.9-78.0),ok,"Table 5; seven hand-held reference-call recordings. Cached PDF SHA-256 1fdab54c9da3b41c4118f1f5997a530e91834d0e704fc887a544c2a651d2ed89."
curran-2022-rhinolophus-mabuensis-mabu,1004704,Rhinolophus mabuensis,exact,curran-2022,"Table 5, R. mabuensis row, Mount Mabu, MZ",curran-2022-table5-unstated,unspecified,,,,unspecified,,Mozambique,"Mount Mabu",,2,,peak_frequency,mean,38.1,,,kHz,sd,0.3,38.1 ± 0.3 (37.5-37.9),suspect,"The printed Table 5 range (37.5-37.9) does not contain its printed mean (38.1); retained verbatim but range deliberately not parsed. Cached PDF SHA-256 1fdab54c9da3b41c4118f1f5997a530e91834d0e704fc887a544c2a651d2ed89."
curran-2022-rhinolophus-mabuensis-mulanje,1004704,Rhinolophus mabuensis,exact,curran-2022,"Table 5, R. mabuensis row, Mount Mulanje, MW",curran-2022-table5-unstated,unspecified,,,,unspecified,,Malawi,"Mount Mulanje",,2,,peak_frequency,mean,37.7,,,kHz,sd,0.3,37.7 ± 0.3 (37.9-38.3),suspect,"The printed Table 5 range (37.9-38.3) does not contain its printed mean (37.7); retained verbatim but range deliberately not parsed. Cached PDF SHA-256 1fdab54c9da3b41c4118f1f5997a530e91834d0e704fc887a544c2a651d2ed89."
