observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,verbatim_value,quality_flag,notes
patterson-2018-otomops-harrisoni-chyulu,1005239,Otomops harrisoni,exact,patterson-2018-otomops,"Table 1, O. harrisoni Chyulu Hills, Kenya column",patterson-2018-otomops-release,search,hand-release,hand-release,,hand_release,,Kenya,"Chyulu Hills National Park, Guano Cave 3",December 2012 and October 2016,4,40,peak_frequency,mean,17.18,16.4,17.95,kHz,se,0.42,17.18 ± 0.42 (16.40-17.95),ok,"Four released bats; source reports mean ± SE and observed range. Cached source XML SHA-256 cc4270a709df1df518f54a79a0301b33e478cd84fe94ca7016748da90118cdaf."
patterson-2018-otomops-harrisoni-chyulu,1005239,Otomops harrisoni,exact,patterson-2018-otomops,"Table 1, O. harrisoni Chyulu Hills, Kenya column",patterson-2018-otomops-release,search,hand-release,hand-release,,hand_release,,Kenya,"Chyulu Hills National Park, Guano Cave 3",December 2012 and October 2016,4,40,max_frequency,mean,21.67,21.48,21.9,kHz,se,0.1,21.67 ± 0.10 (21.48-21.90),ok,"Source labels this maximum frequency StartF. Cached source XML SHA-256 cc4270a709df1df518f54a79a0301b33e478cd84fe94ca7016748da90118cdaf."
patterson-2018-otomops-harrisoni-chyulu,1005239,Otomops harrisoni,exact,patterson-2018-otomops,"Table 1, O. harrisoni Chyulu Hills, Kenya column",patterson-2018-otomops-release,search,hand-release,hand-release,,hand_release,,Kenya,"Chyulu Hills National Park, Guano Cave 3",December 2012 and October 2016,4,40,min_frequency,mean,12.53,11.8,13.13,kHz,se,0.29,12.53 ± 0.29 (11.80-13.13),ok,"Source labels this minimum frequency EndF. Cached source XML SHA-256 cc4270a709df1df518f54a79a0301b33e478cd84fe94ca7016748da90118cdaf."
patterson-2018-otomops-harrisoni-chyulu,1005239,Otomops harrisoni,exact,patterson-2018-otomops,"Table 1, O. harrisoni Chyulu Hills, Kenya column",patterson-2018-otomops-release,search,hand-release,hand-release,,hand_release,,Kenya,"Chyulu Hills National Park, Guano Cave 3",December 2012 and October 2016,4,40,duration,mean,10.72,7.57,12.67,ms,se,1.1,10.72 ± 1.10 (7.57-12.67),ok,"Cached source XML SHA-256 cc4270a709df1df518f54a79a0301b33e478cd84fe94ca7016748da90118cdaf."
patterson-2018-otomops-harrisoni-suswa,1005239,Otomops harrisoni,exact,patterson-2018-otomops,"Table 1, O. harrisoni Mt Suswa, Kenya column",patterson-2018-otomops-release,search,hand-release,hand-release,,hand_release,,Kenya,"Mount Suswa Conservancy, Caves 14C and 18A",August 2011 and January 2014,6,60,peak_frequency,mean,11.86,9.52,13.8,kHz,se,0.72,11.86 ± 0.72 (9.52-13.80),ok,"Six released bats; source reports mean ± SE and observed range. Cached source XML SHA-256 cc4270a709df1df518f54a79a0301b33e478cd84fe94ca7016748da90118cdaf."
patterson-2018-otomops-harrisoni-suswa,1005239,Otomops harrisoni,exact,patterson-2018-otomops,"Table 1, O. harrisoni Mt Suswa, Kenya column",patterson-2018-otomops-release,search,hand-release,hand-release,,hand_release,,Kenya,"Mount Suswa Conservancy, Caves 14C and 18A",August 2011 and January 2014,6,60,max_frequency,mean,17.81,10.72,21.62,kHz,se,1.7,17.81 ± 1.70 (10.72-21.62),ok,"Source labels this maximum frequency StartF. Cached source XML SHA-256 cc4270a709df1df518f54a79a0301b33e478cd84fe94ca7016748da90118cdaf."
patterson-2018-otomops-harrisoni-suswa,1005239,Otomops harrisoni,exact,patterson-2018-otomops,"Table 1, O. harrisoni Mt Suswa, Kenya column",patterson-2018-otomops-release,search,hand-release,hand-release,,hand_release,,Kenya,"Mount Suswa Conservancy, Caves 14C and 18A",August 2011 and January 2014,6,60,min_frequency,mean,10.94,9.63,12.8,kHz,se,0.47,10.94 ± 0.47 (9.63-12.80),ok,"Source labels this minimum frequency EndF. Cached source XML SHA-256 cc4270a709df1df518f54a79a0301b33e478cd84fe94ca7016748da90118cdaf."
patterson-2018-otomops-harrisoni-suswa,1005239,Otomops harrisoni,exact,patterson-2018-otomops,"Table 1, O. harrisoni Mt Suswa, Kenya column",patterson-2018-otomops-release,search,hand-release,hand-release,,hand_release,,Kenya,"Mount Suswa Conservancy, Caves 14C and 18A",August 2011 and January 2014,6,60,duration,mean,9.74,7.04,15.16,ms,se,1.21,9.74 ± 1.21 (7.04-15.16),ok,"Cached source XML SHA-256 cc4270a709df1df518f54a79a0301b33e478cd84fe94ca7016748da90118cdaf."
