observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,verbatim_value,quality_flag,notes
maluleke-2017-damarensis-rf,1004676,Rhinolophus damarensis,exact,maluleke-2017-damarensis,"Results, first paragraph; Table 1",maluleke-2017-damarensis-handheld,resting,,,,unspecified,,South Africa|Namibia,"seven localities; see Table 1",,106,,peak_frequency,mean,85.43,,,kHz,sd,1.3,"85.43 ± 1.3 kHz",ok,"Resting frequency: peak frequency of the CF component, recorded from hand-held bats."
maluleke-2017-damarensis-duration,1004676,Rhinolophus damarensis,exact,maluleke-2017-damarensis,"Results, first paragraph",maluleke-2017-damarensis-handheld,resting,,,,unspecified,,South Africa|Namibia,"seven localities; see Table 1",,106,,duration,mean,31.14,,,ms,sd,5.9,"31.14 ± 5.9 ms",definition_unstated,"Pooled duration; the source text checked does not define a duration threshold."
