observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,verbatim_value,quality_flag,notes
alobaid2026-11,1004669,Rhinolophus clivosus,exact,al-obaid-2026-saudi,"Table 4, Rhinolophus clivosus at Bani Malik, start_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Bani Malik,,,177,start_frequency,mean,89.9,81.6,95.2,kHz,sd,3.3,89.9 ± 3.3 (81.6-95.2),definition_unstated,"Table 4, Rhinolophus clivosus at Bani Malik; reported n=177 calls."
alobaid2026-12,1004669,Rhinolophus clivosus,exact,al-obaid-2026-saudi,"Table 4, Rhinolophus clivosus at Wadi Al Menshar, duration column",al-obaid-2026-saudi-anabat,unspecified,,,,free_flying_wild,,Saudi Arabia,Wadi Al Menshar,,,27,duration,mean,12.1,1.6,28,ms,sd,8.9,12.1 ± 8.9 (1.6-28),definition_unstated,"Table 4, Rhinolophus clivosus at Wadi Al Menshar; reported n=27 calls."
alobaid2026-12,1004669,Rhinolophus clivosus,exact,al-obaid-2026-saudi,"Table 4, Rhinolophus clivosus at Wadi Al Menshar, end_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,free_flying_wild,,Saudi Arabia,Wadi Al Menshar,,,27,end_frequency,mean,86.7,74.0,90.9,kHz,sd,4.6,86.7 ± 4.6 (74.0-90.9),definition_unstated,"Table 4, Rhinolophus clivosus at Wadi Al Menshar; reported n=27 calls."
alobaid2026-12,1004669,Rhinolophus clivosus,exact,al-obaid-2026-saudi,"Table 4, Rhinolophus clivosus at Wadi Al Menshar, peak_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,free_flying_wild,,Saudi Arabia,Wadi Al Menshar,,,27,peak_frequency,mean,88.6,86.9,91.9,kHz,sd,0.9,88.6 ± 0.9 (86.9-91.9),definition_unstated,"Table 4, Rhinolophus clivosus at Wadi Al Menshar; reported n=27 calls."
alobaid2026-12,1004669,Rhinolophus clivosus,exact,al-obaid-2026-saudi,"Table 4, Rhinolophus clivosus at Wadi Al Menshar, start_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,free_flying_wild,,Saudi Arabia,Wadi Al Menshar,,,27,start_frequency,mean,87.8,78.4,90.9,kHz,sd,3.2,87.8 ± 3.2 (78.4-90.9),definition_unstated,"Table 4, Rhinolophus clivosus at Wadi Al Menshar; reported n=27 calls."
alobaid2026-13,1005571,Rhyneptesicus nasutus,exact,al-obaid-2026-saudi,"Table 7, Rhyneptesicus nasutus at Unayzah, duration column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Unayzah,,,357,duration,mean,7.5,1.1,11.9,ms,sd,2.5,7.5 ± 2.5 (1.1-11.9),definition_unstated,"Table 7, Rhyneptesicus nasutus at Unayzah; reported n=357 calls."
alobaid2026-13,1005571,Rhyneptesicus nasutus,exact,al-obaid-2026-saudi,"Table 7, Rhyneptesicus nasutus at Unayzah, end_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Unayzah,,,357,end_frequency,mean,42.0,9.2,46.5,kHz,sd,0.9,42.0 ± 0.9 (9.2-46.5),suspect,"Table 7, Rhyneptesicus nasutus at Unayzah; reported n=357 calls. Source table prints EF range 9.2-46.5; retained verbatim and flagged suspect because its lower bound is unusually distant from the reported mean."
alobaid2026-13,1005571,Rhyneptesicus nasutus,exact,al-obaid-2026-saudi,"Table 7, Rhyneptesicus nasutus at Unayzah, peak_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Unayzah,,,357,peak_frequency,mean,43.5,40.0,48.2,kHz,sd,1.5,43.5 ± 1.5 (40.0-48.2),definition_unstated,"Table 7, Rhyneptesicus nasutus at Unayzah; reported n=357 calls."
alobaid2026-13,1005571,Rhyneptesicus nasutus,exact,al-obaid-2026-saudi,"Table 7, Rhyneptesicus nasutus at Unayzah, start_frequency column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Unayzah,,,357,start_frequency,mean,43.9,38.8,55.6,kHz,sd,2.2,43.9 ± 2.2 (38.8-55.6),definition_unstated,"Table 7, Rhyneptesicus nasutus at Unayzah; reported n=357 calls."
alobaid2026-14,1005571,Rhyneptesicus nasutus,exact,al-obaid-2026-saudi,"Table 7, Rhyneptesicus nasutus at Al Oqdah Water Falls, duration column",al-obaid-2026-saudi-anabat,unspecified,,,,unspecified,,Saudi Arabia,Al Oqdah Water Falls,,,88,duration,mean,5.0,1.1,14.2,ms,sd,2.4,5.0 ± 2.4 (1.1-14.2),definition_unstated,"Table 7, Rhyneptesicus nasutus at Al Oqdah Water Falls; reported n=88 calls."
