observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,verbatim_value,quality_flag,notes
bakwo-fils-2018-mops-major,1005156,Chaerephon major,manual,bakwo-fils-2018,"Table 2, Chaerephon major row",bakwo-fils-2018-anabat,search,hand-release,hand-release,,hand_release,semi_arid,Cameroon,"Maroua, Far North Region",July 2012–January 2013,16,16,max_frequency,mean,39.3,,,kHz,sd,6.9,39.3 ± 6.9,ok,"Mapped manually from the source name Chaerephon major to current MDD Mops major; archived raw SHA-256 bb91938efe1a116706737a26587740beb3e84f73152c2706dcc9e7e568df219b."
bakwo-fils-2018-mops-major,1005156,Chaerephon major,manual,bakwo-fils-2018,"Table 2, Chaerephon major row",bakwo-fils-2018-anabat,search,hand-release,hand-release,,hand_release,semi_arid,Cameroon,"Maroua, Far North Region",July 2012–January 2013,16,16,min_frequency,mean,37.4,,,kHz,sd,6.7,37.4 ± 6.7,ok,"Mapped manually from the source name Chaerephon major to current MDD Mops major; archived raw SHA-256 bb91938efe1a116706737a26587740beb3e84f73152c2706dcc9e7e568df219b."
bakwo-fils-2018-mops-major,1005156,Chaerephon major,manual,bakwo-fils-2018,"Table 2, Chaerephon major row",bakwo-fils-2018-anabat,search,hand-release,hand-release,,hand_release,semi_arid,Cameroon,"Maroua, Far North Region",July 2012–January 2013,16,16,knee_frequency,mean,38.2,,,kHz,sd,7.3,38.2 ± 7.3,ok,"Mapped manually from the source name Chaerephon major to current MDD Mops major; archived raw SHA-256 bb91938efe1a116706737a26587740beb3e84f73152c2706dcc9e7e568df219b."
bakwo-fils-2018-mops-major,1005156,Chaerephon major,manual,bakwo-fils-2018,"Table 2, Chaerephon major row",bakwo-fils-2018-anabat,search,hand-release,hand-release,,hand_release,semi_arid,Cameroon,"Maroua, Far North Region",July 2012–January 2013,16,16,characteristic_frequency,mean,33.7,,,kHz,sd,7.3,33.7 ± 7.3,ok,"Mapped manually from the source name Chaerephon major to current MDD Mops major; archived raw SHA-256 bb91938efe1a116706737a26587740beb3e84f73152c2706dcc9e7e568df219b."
bakwo-fils-2018-mops-major,1005156,Chaerephon major,manual,bakwo-fils-2018,"Table 2, Chaerephon major row",bakwo-fils-2018-anabat,search,hand-release,hand-release,,hand_release,semi_arid,Cameroon,"Maroua, Far North Region",July 2012–January 2013,16,16,duration,mean,1.66,,,ms,sd,0.40,1.66 ± 0.40,ok,"Mapped manually from the source name Chaerephon major to current MDD Mops major; archived raw SHA-256 bb91938efe1a116706737a26587740beb3e84f73152c2706dcc9e7e568df219b."
