observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,verbatim_value,quality_flag,notes
gomeh-djame-2026-glauconycteris-lobeke-peak,1007049,Glauconycteris lobeke sp. nov.,exact,gomeh-djame-2026-lobeke,"Echolocation section, paragraph 1; Figure 13",gomeh-djame-2026-lobeke-unstated,unspecified,,,,unspecified,,Cameroon,"type-series locality; see source",,1,1,peak_frequency,single,41.15,,,kHz,,,"Fppeak 41.15 kHz",definition_unstated,"Only known from the paratype; the source labels Fppeak but the recording context is not stated in the checked extract."
gomeh-djame-2026-glauconycteris-lobeke-duration,1007049,Glauconycteris lobeke sp. nov.,exact,gomeh-djame-2026-lobeke,"Echolocation section, paragraph 1; Figure 13",gomeh-djame-2026-lobeke-unstated,unspecified,,,,unspecified,,Cameroon,"type-series locality; see source",,1,1,duration,single,2.69,,,ms,,,"Dur 2.69 ms",definition_unstated,"Only known from the paratype; duration threshold is not stated in the checked extract."
