observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,verbatim_value,quality_flag,notes
goe2010-bb-t1,1005649,Barbastella barbastellus,exact,goerlitz-2010,"Results and Discussion, p. 1569",goerlitz-2010-array,search,type_1,Type 1,,free_flying_wild,open,United Kingdom,,,,,flight_speed,mean,7.7,,,m_per_s,sd,1.2,flight speed 7.7 [+/-1.2 SD] m/s,ok,
goe2010-bb-t1,1005649,Barbastella barbastellus,exact,goerlitz-2010,"Results and Discussion, p. 1570",goerlitz-2010-array,search,type_1,Type 1,,free_flying_wild,open,United Kingdom,,,8,,moth_detection_distance,median,3.5,3.3,3.5,m,,,A1: 3.5 m [quartiles: 3.3-3.5 m],ok,"Field-measured distance at which the A1 auditory cell of the moth Noctua pronuba responds to the approaching bat. Nyctalus leisleri under the same criterion: 33.2 m. value_min/value_max are quartiles, not a range. Modelled prediction was 4.3 m [3.4-6.1 m]."
goe2010-bb-t1,1005649,Barbastella barbastellus,exact,goerlitz-2010,"Results and Discussion, p. 1569",goerlitz-2010-array,search,type_1,Type 1,,free_flying_wild,open,United Kingdom,,,,197,peak_frequency,median,33,,,kHz,,,median call peak frequencies of 33 kHz,definition_unstated,Used as the model input frequency for B. barbastellus.
goe2010-bb-t1,1005649,Barbastella barbastellus,exact,goerlitz-2010,"Results and Discussion, p. 1569",goerlitz-2010-array,search,type_1,Type 1,,free_flying_wild,open,United Kingdom,,,,197,source_level,median,94,,,dB_SPL,,,only 94 dB peSPL,ok,"dB peSPL at 10 cm from the bat's mouth. Only type 1 calls were analysed, because 92% of moth detection distances were in response to this type. Compare Nyctalus leisleri at 127 dB peSPL under the same method."
goe2010-nl,1005605,Nyctalus leisleri,exact,goerlitz-2010,"Results and Discussion, p. 1569",goerlitz-2010-array,search,,,,free_flying_wild,open,United Kingdom,,,,,flight_speed,mean,10.3,,,m_per_s,sd,1.7,10.3 (+/-1.7 SD) m/s,ok,
goe2010-nl,1005605,Nyctalus leisleri,exact,goerlitz-2010,"Results and Discussion, p. 1569",goerlitz-2010-array,search,,,,free_flying_wild,open,United Kingdom,,,7,,moth_detection_distance,median,33.2,32.8,33.8,m,,,A1: 33.2 m [quartiles: 32.8-33.8 m],ok,"Field-measured distance at which the A1 auditory cell of the moth Noctua pronuba responds. value_min/value_max are quartiles, not a range. Barbastella barbastellus under the same criterion: 3.5 m."
goe2010-nl,1005605,Nyctalus leisleri,exact,goerlitz-2010,"Results and Discussion, p. 1569",goerlitz-2010-array,search,,,,free_flying_wild,open,United Kingdom,,,,,peak_frequency,median,28,,,kHz,,,28 kHz (N. leisleri),definition_unstated,Used as the model input frequency for N. leisleri.
goe2010-nl,1005605,Nyctalus leisleri,exact,goerlitz-2010,"Results and Discussion, p. 1569",goerlitz-2010-array,search,,,,free_flying_wild,open,United Kingdom,,,,515,source_level,median,127,,,dB_SPL,,,127 dB peSPL for N. leisleri,ok,dB peSPL at 10 cm from the bat's mouth. Compare Barbastella barbastellus at 94 dB peSPL under the same method: the 33 dB difference is the stealth result.
