sci_name,family
Rhinolophus hillorum,Rhinolophidae
Rhinolophus hipposideros,Rhinolophidae
Rhinolophus horaceki,Rhinolophidae
Rhinolophus landeri,Rhinolophidae
Rhinolophus lobatus,Rhinolophidae
Rhinolophus mabuensis,Rhinolophidae
Rhinolophus maclaudi,Rhinolophidae
Rhinolophus maendeleo,Rhinolophidae
Rhinolophus mehelyi,Rhinolophidae
Rhinolophus mossambicus,Rhinolophidae
Rhinolophus namuli,Rhinolophidae
Rhinolophus rhodesiae,Rhinolophidae
Rhinolophus ruwenzorii,Rhinolophidae
Rhinolophus sakejiensis,Rhinolophidae
Rhinolophus silvestris,Rhinolophidae
Rhinolophus simulator,Rhinolophidae
Rhinolophus smithersi,Rhinolophidae
Rhinolophus swinnyi,Rhinolophidae
Rhinolophus webalai,Rhinolophidae
Rhinolophus willardi,Rhinolophidae
Rhinolophus ziama,Rhinolophidae
Cloeotis percivali,Rhinonycteridae
Triaenops afer,Rhinonycteridae
Triaenops persicus,Rhinonycteridae
Rhinopoma cystops,Rhinopomatidae
Rhinopoma funaiolii,Rhinopomatidae
Rhinopoma microphyllum,Rhinopomatidae
Afronycteris helios,Vespertilionidae
Afronycteris nanus,Vespertilionidae
Afronycteris rautenbachi,Vespertilionidae
Afropipistrellus bellieri,Vespertilionidae
Afropipistrellus crassulus,Vespertilionidae
Afropipistrellus eisentrauti,Vespertilionidae
Afropipistrellus grandidieri,Vespertilionidae
Afropipistrellus happoldorum,Vespertilionidae
Afropipistrellus macrocephalus,Vespertilionidae
Afropipistrellus musciculus,Vespertilionidae
Barbastella barbastellus,Vespertilionidae
Barbastella leucomelas,Vespertilionidae
Cnephaeus bottae,Vespertilionidae
Cnephaeus floweri,Vespertilionidae
Cnephaeus hottentotus,Vespertilionidae
Cnephaeus isabellinus,Vespertilionidae
Cnephaeus platyops,Vespertilionidae
Glauconycteris alboguttata,Vespertilionidae
Glauconycteris argentata,Vespertilionidae
Glauconycteris atra,Vespertilionidae
Glauconycteris baka,Vespertilionidae
Glauconycteris beatrix,Vespertilionidae
Glauconycteris curryae,Vespertilionidae
Glauconycteris egeria,Vespertilionidae
Glauconycteris gleni,Vespertilionidae
Glauconycteris humeralis,Vespertilionidae
Glauconycteris kenyacola,Vespertilionidae
Glauconycteris lobeke,Vespertilionidae
Glauconycteris machadoi,Vespertilionidae
Glauconycteris poensis,Vespertilionidae
Glauconycteris superba,Vespertilionidae
Glauconycteris variegata,Vespertilionidae
Hypsugo ariel,Vespertilionidae
Hypsugo savii,Vespertilionidae
Kerivoula africana,Vespertilionidae
Kerivoula argentata,Vespertilionidae
Kerivoula cuprosa,Vespertilionidae
Kerivoula eriophora,Vespertilionidae
Kerivoula lanosa,Vespertilionidae
Kerivoula phalaena,Vespertilionidae
Kerivoula smithii,Vespertilionidae
Laephotis angolensis,Vespertilionidae
Laephotis capensis,Vespertilionidae
Laephotis kirinyaga,Vespertilionidae
Laephotis namibensis,Vespertilionidae
Laephotis stanleyi,Vespertilionidae
Laephotis wintoni,Vespertilionidae
Mimetillus moloneyi,Vespertilionidae
Myotis anjouanensis,Vespertilionidae
Myotis bocagii,Vespertilionidae
Myotis capaccinii,Vespertilionidae
Myotis dieteri,Vespertilionidae
Myotis emarginatus,Vespertilionidae
Myotis morrisi,Vespertilionidae
Myotis mystacinus,Vespertilionidae
Myotis nimbaensis,Vespertilionidae
Myotis punicus,Vespertilionidae
Myotis scotti,Vespertilionidae
Myotis tricolor,Vespertilionidae
Myotis welwitschii,Vespertilionidae
Myotis zenatius,Vespertilionidae
Neoromicia anchietae,Vespertilionidae
Neoromicia guineensis,Vespertilionidae
Neoromicia hlandzeni,Vespertilionidae
Neoromicia somalica,Vespertilionidae
Neoromicia zuluensis,Vespertilionidae
Nyctalus lasiopterus,Vespertilionidae
Nyctalus leisleri,Vespertilionidae
Nycticeinops schlieffenii,Vespertilionidae
Otonycteris hemprichii,Vespertilionidae
Pipistrellus aero,Vespertilionidae
Pipistrellus etula,Vespertilionidae
Pipistrellus hanaki,Vespertilionidae
Pipistrellus hesperidus,Vespertilionidae
Pipistrellus inexspectatus,Vespertilionidae
Pipistrellus kuhlii,Vespertilionidae
Pipistrellus nanulus,Vespertilionidae
Pipistrellus permixtus,Vespertilionidae
Pipistrellus pipistrellus,Vespertilionidae
Pipistrellus rusticus,Vespertilionidae
Pipistrellus simandouensis,Vespertilionidae
Plecotus balensis,Vespertilionidae
Plecotus christii,Vespertilionidae
Plecotus gaisleri,Vespertilionidae
Plecotus teneriffae,Vespertilionidae
Pseudoromicia brunnea,Vespertilionidae
Pseudoromicia isabella,Vespertilionidae
Pseudoromicia kityoi,Vespertilionidae
Pseudoromicia mbamminkom,Vespertilionidae
Pseudoromicia nyanza,Vespertilionidae
Pseudoromicia principis,Vespertilionidae
Pseudoromicia rendalli,Vespertilionidae
Pseudoromicia roseveari,Vespertilionidae
Pseudoromicia tenuipinnis,Vespertilionidae
Scotoecus albofuscus,Vespertilionidae
Scotoecus hindei,Vespertilionidae
Scotoecus hirundo,Vespertilionidae
Scotophilus altilis,Vespertilionidae
Scotophilus colias,Vespertilionidae
Scotophilus damarensis,Vespertilionidae
Scotophilus dinganii,Vespertilionidae
Scotophilus leucogaster,Vespertilionidae
Scotophilus livingstonii,Vespertilionidae
Scotophilus nigrita,Vespertilionidae
Scotophilus nigritellus,Vespertilionidae
Scotophilus nucella,Vespertilionidae
Scotophilus nux,Vespertilionidae
Scotophilus trujilloi,Vespertilionidae
Scotophilus viridis,Vespertilionidae
Vansonia rueppellii,Vespertilionidae
